"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"2563","sp4246","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA,1.10784421624223,0.190973745487677,0.229210128944568,0.833181964370613,0.404742112726275,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2564","sp4247","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Persicitalea",NA,1.10784421624223,-0.212572626279992,0.218067771319533,-0.974800746546407,0.329659106736111,0.45399748148115,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2565","sp4248","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,1.10784421624223,0.190973745487677,0.229210128944567,0.833181964370618,0.404742112726272,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2566","sp4249","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parablastomonas",NA,1.10784421624223,0.190973745487677,0.229210128944567,0.833181964370619,0.404742112726271,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2567","sp4250","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA,1.10784421624223,0.190973745487677,0.229210128944567,0.833181964370619,0.404742112726271,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2568","sp4251","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA,1.10784421624223,0.190973947037448,0.228735085794515,0.834913220130164,0.40376657072721,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2569","sp4252","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA,1.10784421624223,0.190974055283793,0.228481317782957,0.835841009395819,0.403244352376312,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2570","sp4254","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter",NA,1.10784421624223,0.190973745487677,0.229210128944564,0.833181964370629,0.404742112726266,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2571","sp4255","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae",NA,NA,1.10784421624223,-0.0156524866526501,0.222617815071944,-0.0703110245134318,0.943946107932346,0.95731353647605,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2572","sp4257","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,1.10784421624223,0.190973895753345,0.228855645707234,0.834473168285523,0.404014401173834,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2573","sp4259","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,1.10784421624223,0.190973745487677,0.229210128944564,0.833181964370629,0.404742112726266,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2574","sp4260","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,1.10784421624223,0.190973745487677,0.229210128944564,0.833181964370629,0.404742112726266,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2575","sp4261","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA,1.10784421624223,0.190973745487677,0.229210128944564,0.833181964370629,0.404742112726266,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2576","sp4262","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA,1.10784421624223,-0.276483713037757,0.216952662605504,-1.27439649607113,0.202522933493216,0.332147124630976,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2577","sp4263","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia",NA,1.10784421624223,0.190973745487677,0.229210128944564,0.833181964370629,0.404742112726266,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2578","sp4265","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix",NA,1.10784421624223,-0.371000787529383,0.214995811255112,-1.72561867770138,0.0844160369006645,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2579","sp4266","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum",NA,1.10784421624223,-0.370999895245462,0.215743599895168,-1.71963337696105,0.0854991051185847,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2580","sp4267","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA,1.10784421624223,-0.370999895245462,0.215743599895168,-1.71963337696105,0.0854991051185847,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2581","sp4268","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA,1.10784421624223,-0.370999895245462,0.215743599895168,-1.71963337696105,0.0854991051185847,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2582","sp4269","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA,NA,1.10784421624223,-0.371000806878984,0.214979695660246,-1.72574812583843,0.0843927358754103,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2583","sp4270","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA,NA,1.10784421624223,-0.370999895245462,0.215743599895169,-1.71963337696105,0.0854991051185853,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2584","sp4271","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,1.10776063399113,0.190969044530823,0.229206666611031,0.833174040504249,0.404746580968618,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2585","sp4272","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA,1.10784421624223,0.190973745487677,0.229210128944569,0.83318196437061,0.404742112726277,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2586","sp4273","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","acidiceler",1.10784421624223,0.190974137156719,0.228290006695286,0.836541817669774,0.402850161619231,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2587","sp4274","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","turgidiscabies",1.10776063399113,0.190969044530823,0.229206666611031,0.833174040504249,0.404746580968618,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2588","sp4275","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA,1.10776063399113,0.190969044530823,0.229206666611031,0.833174040504249,0.404746580968618,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2589","sp4278","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Candidatus Accumulibacter",NA,1.10776063399113,0.190970403053581,0.228478966622913,0.835833625634186,0.403248506825494,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2590","sp4279","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter",NA,1.10776063399113,-0.244619163124139,0.217481530715091,-1.12478131968181,0.260681712177137,0.390393577539273,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2591","sp4281","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,1.10776063399113,0.190969044530824,0.229206666611028,0.833174040504262,0.404746580968611,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2592","sp4282","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter",NA,1.10776063399113,0.190969044530824,0.229206666611028,0.833174040504262,0.404746580968611,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2593","sp4283","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA,1.10777046719714,0.0180371810727451,0.223490532149198,0.0807066898954979,0.935675216407962,0.952887901059988,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2594","sp4284","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","starrii",1.10791667701241,-0.371008240307984,0.215746518317799,-1.71964879526575,0.0854963007417968,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2595","sp4285","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis",NA,1.10776063399113,-0.370990274003525,0.215740235550575,-1.71961559723316,0.085502339097964,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2596","sp4286","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter",NA,1.10776063399113,-0.370990274003525,0.215740235550575,-1.71961559723316,0.085502339097964,0.186423132787364,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2597","sp4288","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA,1.10784421624223,0.190973985392941,0.228645058346431,0.835242129325129,0.403581393566167,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2598","sp4289","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA,NA,1.10776063399113,0.190969044530824,0.229206666611028,0.833174040504261,0.404746580968611,0.503768805991689,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
