"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus"
"sp3616",0.024707866322222,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"sp3618",0.0483409256456969,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"sp3619",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter"
"sp3621",0.015273448228145,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"sp3624",0.0483409256456969,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"sp3626",0.0256650630354877,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"sp3628",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA
"sp3630",0.0121969415951541,0.383695091680304,2.91618651962317,0.131574262859525,0.895321043774473,NA,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",NA
"sp3631",0.0124963405580963,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"sp3637",0,NA,NA,NA,NA,NA,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"sp3639",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"sp3645",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Youhaiella"
"sp3646",0,NA,NA,NA,NA,NA,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"sp3649",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae",NA
"sp3653",0,NA,NA,NA,NA,NA,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"sp3655",0,NA,NA,NA,NA,NA,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"sp3657",0.00924136797378702,0.383695092149602,2.9161865196232,0.131574263020453,0.895321043647178,NA,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"sp3658",0,NA,NA,NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"sp3671",0.00594657550571746,0.383695092870692,2.91618651962325,0.131574263267722,0.895321043451586,NA,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"sp3672",0.03054689645629,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"sp3675",0.0243191812062931,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus"
"sp3676",0,NA,NA,NA,NA,NA,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"sp3680",0,NA,NA,NA,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum"
"sp3683",0.0295944800368924,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"sp3684",0.0147972400184462,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA
"sp3697",0,NA,NA,NA,NA,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Pelolinea"
"sp3702",0,NA,NA,NA,NA,NA,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"sp3704",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"sp3707",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Fontimonas"
"sp3708",0.0296594589383968,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"sp3709",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudaminobacter"
"sp3712",0.0122783855119809,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"sp3718",0.012353933161111,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"sp3719",0.0169417489820398,0.543544560939148,2.91617743469504,0.186389399517451,0.852139404732242,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"sp3721",0.0725113884685453,0.599021276274647,2.91617160807928,0.205413589040869,0.83724900412653,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839",NA
"sp3722",0.0241704628228484,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"sp3725",0.015273448228145,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"sp3730",0.015273448228145,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1"
"sp3732",0.0124616308527075,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"sp3734",0.0127033048184584,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella"
"sp3746",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"sp3758",0,NA,NA,NA,NA,NA,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"sp3760",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"sp3764",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
"sp3768",0.0125064258303195,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA
"sp3775",0,NA,NA,NA,NA,NA,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"sp3777",0.0241704628228484,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"sp3782",0.0121595906031466,0.383695091685544,2.91618651962317,0.131574262861322,0.895321043773051,NA,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Roseimaritima"
"sp3785",0.0124151412238626,0.488068270091364,2.91618348487451,0.167365418747774,0.867082533197306,NA,"Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus"
"sp3786",0,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Berkiella"
